GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.capitalone.dashboard:api,com.capitalone.dashboard.auth,DefaultAuthenticationResponseService,75,62,3,3,17,17,5,2,2,2
com.capitalone.dashboard:api,com.capitalone.dashboard.auth,AuthenticationResultHandler,0,9,0,0,0,3,0,2,0,2
com.capitalone.dashboard:api,com.capitalone.dashboard.auth,AuthProperties,88,112,0,6,38,41,25,25,25,22
com.capitalone.dashboard:api,com.capitalone.dashboard.auth,AuthenticationUtil,8,32,4,6,1,11,3,6,0,4
com.capitalone.dashboard:api,com.capitalone.dashboard.model.deploy,DeployableUnit,0,52,0,0,0,15,0,7,0,7
com.capitalone.dashboard:api,com.capitalone.dashboard.model.deploy,Server,0,15,0,0,0,6,0,3,0,3
com.capitalone.dashboard:api,com.capitalone.dashboard.model.deploy,Environment,4,46,3,3,0,13,3,6,0,6
com.capitalone.dashboard:api,com.capitalone.dashboard.webhook.datasync,DataSyncServiceImpl,42,156,8,12,6,36,8,14,2,10
com.capitalone.dashboard:api,com.capitalone.dashboard.webhook.datasync,DataSyncController,16,0,0,0,7,0,2,0,2,0
com.capitalone.dashboard:api,com.capitalone.dashboard.webhook.datasync,DataSyncUtils,92,310,6,6,13,48,10,26,5,25
com.capitalone.dashboard:api,com.capitalone.dashboard.webhook.datasync,SonarDataSyncDelegate,28,214,6,8,2,42,6,6,0,5
com.capitalone.dashboard:api,com.capitalone.dashboard.webhook.datasync,StaticSecurityDataSyncDelegate,28,214,6,8,2,42,6,6,0,5
com.capitalone.dashboard:api,com.capitalone.dashboard.webhook.datasync,GithubDataSyncDelegate,28,213,6,8,2,42,6,6,0,5
com.capitalone.dashboard:api,com.capitalone.dashboard.webhook.datasync,TestDataSyncDelegate,170,0,10,0,33,0,10,0,5,0
com.capitalone.dashboard:api,com.capitalone.dashboard.webhook.datasync,ArtifactDataSyncDelegate,28,214,6,8,2,42,6,6,0,5
